Account,Details,Date,Description,Type,Check or Slip #,Just Text,Sub Category,Primary Category,Vendor,Amount,Tax/Reason,Notes
Bills 7129,DEBIT,11/30/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$93.45,Utility Communication,
Bills 7129,DEBIT,11/3/2021,T-MOBILE PCS SVC 9959047 WEB ID: 0000450304,ACH_DEBIT,,T Mobile Pcs Svc Web Id,Cell Phone,Utility,T-Mobile,$85.00,Utility Communication,
Bills 7129,DEBIT,10/27/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$93.45,Utility Communication,
Bills 7129,DEBIT,10/18/2021,CREDENCE-AT&T MOBILITY 855-8804791 TX 10/15,DEBIT_CARD,,Credence At&T Mobility Tx,Cell Phone,Utility,T-Mobile,$144.97,Utility Communication,
Bills 7129,DEBIT,10/4/2021,T-MOBILE PCS SVC 6068924 WEB ID: 0000450304,ACH_DEBIT,,T Mobile Pcs Svc Web Id,Cell Phone,Utility,T-Mobile,$85.00,Utility Communication,
Bills 7129,DEBIT,9/29/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$93.53,Utility Communication,
Bills 7129,DEBIT,9/3/2021,T-MOBILE PCS SVC 6210818 WEB ID: 0000450304,ACH_DEBIT,,T Mobile Pcs Svc Web Id,Cell Phone,Utility,T-Mobile,$85.00,Utility Communication,
Bills 7129,DEBIT,8/27/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$93.59,Utility Communication,
Bills 7129,DEBIT,8/3/2021,T-MOBILE PCS SVC 6318928 WEB ID: 0000450304,ACH_DEBIT,,T Mobile Pcs Svc Web Id,Cell Phone,Utility,T-Mobile,$84.67,Utility Communication,
Bills 7129,DEBIT,7/28/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$93.59,Utility Communication,
Bills 7129,DEBIT,7/6/2021,T-MOBILE PCS SVC 1396427 WEB ID: 0000450304,ACH_DEBIT,,T Mobile Pcs Svc Web Id,Cell Phone,Utility,T-Mobile,$85.00,Utility Communication,
Bills 7129,DEBIT,6/29/2021,VERIZON WIRELESS PAYMENTS PPD ID: 4223344794,ACH_DEBIT,,Verizon Wireless Payments Ppd Id,Cell Phone,Utility,Verizon,$134.24,Utility Communication,
Bills 7129,DEBIT,12/7/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 12/06,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$118.10,Utility Electric,
Bills 7129,DEBIT,11/4/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 11/03,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$187.66,Utility Electric,
Bills 7129,DEBIT,10/5/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 10/04,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$267.85,Utility Electric,
Bills 7129,DEBIT,9/7/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 09/03,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$271.80,Utility Electric,
Bills 7129,DEBIT,8/6/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 08/05,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$164.34,Utility Electric,
Bills 7129,DEBIT,7/6/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 07/05,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$175.70,Utility Electric,
Bills 7129,DEBIT,6/8/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 06/07,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$121.24,Utility Electric,
Bills 7129,DEBIT,5/7/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 05/06,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$111.30,Utility Electric,
Bills 7129,DEBIT,4/8/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 04/07,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$149.01,Utility Electric,
Bills 7129,DEBIT,3/9/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 03/08,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$161.92,Utility Electric,
Bills 7129,DEBIT,2/8/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 02/05,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$185.68,Utility Electric,
Bills 7129,DEBIT,1/7/2021,SACRAMENTO MUNICIPAL 888-742-SMUD CA 01/06,DEBIT_CARD,,Sacramento Municipal Smud Ca,Electricity,Utility,SMUD,$151.14,Utility Electric,
Bills 7129,DEBIT,12/1/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 11/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,10/1/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 09/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,8/2/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 07/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,6/1/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 05/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,3/31/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 03/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,2/1/2021,REPUBLIC SERVICES TRA 866-576-5548 AZ 01/30,DEBIT_CARD,,Republic Services Tra Az,Garbage,Utility,Republic,$56.76,Utility Garbage,
Bills 7129,DEBIT,12/23/2021,PG&E WEBRECURRING 800-743-5000 CA 12/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$92.49,Utility Gas,
Bills 7129,DEBIT,11/23/2021,PG&E WEBRECURRING 800-743-5000 CA 11/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$59.50,Utility Gas,
Bills 7129,DEBIT,10/22/2021,PG&E WEBRECURRING 800-743-5000 CA 10/21,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$34.22,Utility Gas,
Bills 7129,DEBIT,9/23/2021,PG&E WEBRECURRING 800-743-5000 CA 09/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$30.46,Utility Gas,
Bills 7129,DEBIT,8/25/2021,PG&E WEBRECURRING 800-743-5000 CA 08/24,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$31.11,Utility Gas,
Bills 7129,DEBIT,7/23/2021,PG&E WEBRECURRING 800-743-5000 CA 07/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$20.66,Utility Gas,
Bills 7129,DEBIT,6/24/2021,PG&E WEBRECURRING 800-743-5000 CA 06/23,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$39.13,Utility Gas,
Bills 7129,DEBIT,5/25/2021,PG&E WEBRECURRING 800-743-5000 CA 05/24,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$40.53,Utility Gas,
Bills 7129,DEBIT,4/23/2021,PG&E WEBRECURRING 800-743-5000 CA 04/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$20.07,Utility Gas,
Bills 7129,DEBIT,3/23/2021,PG&E WEBRECURRING 800-743-5000 CA 03/22,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$80.29,Utility Gas,
Bills 7129,DEBIT,2/22/2021,PG&E WEBRECURRING 800-743-5000 CA 02/19,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$87.88,Utility Gas,
Bills 7129,DEBIT,1/20/2021,PG&E WEBRECURRING 800-743-5000 CA 01/19,DEBIT_CARD,,Pg&E Webrecurring Ca,Gas,Utility,PG&E,$70.06,Utility Gas,
Bills 7129,DEBIT,12/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 12/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$117.18,Utility Internet,
Bills 7129,DEBIT,11/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 11/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$117.18,Utility Internet,
Bills 7129,DEBIT,10/4/2021,COMCAST CALIFORNIA 800-COMCAST CA 10/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$130.89,Utility Internet,
Bills 7129,DEBIT,9/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 09/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.25,Utility Internet,
Bills 7129,DEBIT,8/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 08/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.33,Utility Internet,
Bills 7129,DEBIT,7/6/2021,COMCAST CALIFORNIA 800-COMCAST CA 07/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.34,Utility Internet,
Bills 7129,DEBIT,6/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 06/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.34,Utility Internet,
Bills 7129,DEBIT,5/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 05/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.32,Utility Internet,
Bills 7129,DEBIT,4/5/2021,COMCAST CALIFORNIA 800-COMCAST CA 04/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.14,Utility Internet,
Bills 7129,DEBIT,3/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 03/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.14,Utility Internet,
Bills 7129,DEBIT,2/3/2021,COMCAST CALIFORNIA 800-COMCAST CA 02/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$105.14,Utility Internet,
Bills 7129,DEBIT,1/4/2021,COMCAST CALIFORNIA 800-COMCAST CA 01/03,DEBIT_CARD,,Comcast California Comcast Ca,Internet,Bills,Comcast,$102.98,Utility Internet,
Bills 7129,DEBIT,12/24/2021,ORKIN LLC 002 877-620-8282 GA 12/24,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,11/26/2021,ORKIN LLC 002 877-620-8282 GA 11/25,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,10/19/2021,ORKIN LLC 002 877-620-8282 GA 10/19,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,9/17/2021,ORKIN LLC 002 877-620-8282 GA 09/17,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,8/9/2021,ORKIN LLC 002 877-620-8282 GA 08/07,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,7/15/2021,ORKIN LLC 002 877-620-8282 GA 07/15,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$75.00,Utility Pest,
Bills 7129,DEBIT,5/19/2021,ORKIN LLC 002 877-620-8282 GA 05/19,DEBIT_CARD,,Orkinllc Ga,Pest,Subscription,Orkin,$100.00,Utility Pest,
Bills 7129,DEBIT,12/21/2021,SACRAMENTO COUNT EPAYMENT J5477948856 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment J Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,10/26/2021,SACRAMENTO COUNT EPAYMENT Z6013045302 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment Z Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,8/24/2021,SACRAMENTO COUNT EPAYMENT K9622131365 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment K Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,6/22/2021,SACRAMENTO COUNT EPAYMENT C1295739859 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment C Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,4/20/2021,SACRAMENTO COUNT EPAYMENT D2122415409 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment D Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,2/23/2021,SACRAMENTO COUNT EPAYMENT G3191840692 WEB ID: 92329005AF,ACH_DEBIT,,Sacramento Count Epayment G Web Id Af,Sewer,Utility,Sac County,$128.22,Utility Sewer,
Bills 7129,DEBIT,12/28/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 12/28,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$113.25,Utility Water,
Bills 7129,DEBIT,10/22/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 10/22,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$117.97,Utility Water,
Bills 7129,DEBIT,8/27/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 08/27,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$133.31,Utility Water,
Bills 7129,DEBIT,6/25/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 06/25,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$133.31,Utility Water,
Bills 7129,DEBIT,4/23/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 04/23,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$110.89,Utility Water,
Bills 7129,DEBIT,2/26/2021,CITRUS HEIGHTS WATER 916-725-6873 CA 02/26,DEBIT_CARD,,Citrus Heights Water Ca,Water,Bills,Citrus Heights,$106.17,Utility Water,
Primary 5925,DEBIT,10/18/2021,NON-CHASE ATM WITHDRAW 152313 10/181 RIVERSH,ATM,,Non Chase Atm Withdraw Riversh,Cash,ATM,ATM,$84.50,,
Primary 5925,DEBIT,6/28/2021,NON-CHASE ATM WITHDRAW 020578 06/287217 HWY,ATM,,Non Chase Atm Withdraw Hwy,Cash,ATM,ATM,$82.50,,
Primary 5925,DEBIT,3/8/2021,NON-CHASE ATM WITHDRAW 224629 03/078660 AUBU,ATM,,Non Chase Atm Withdraw Aubu,Cash,ATM,ATM,$202.99,,
Primary 5925,DEBIT,3/8/2021,NON-CHASE ATM WITHDRAW 124680 03/078660 AUBU,ATM,,Non Chase Atm Withdraw Aubu,Cash,ATM,ATM,$102.99,,
Primary 5925,DEBIT,12/13/2021,BID RL CITRUS HEIGHTS 916-5808121 CA 12/10,DEBIT_CARD,,Bid Rl Citrus Heights Ca,Shopping,Auction,BidRL,$127.23,,
Primary 5925,DEBIT,12/3/2021,BIDRL 916-2844235 CA 12/02,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$2.44,,
Primary 5925,DEBIT,11/30/2021,BIDRL 916-2844235 CA 11/29,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$2.44,,
Primary 5925,DEBIT,11/29/2021,BIDRL.COM 916-6987175 CA 11/25,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$113.42,,
Primary 5925,DEBIT,11/29/2021,BIDRL.COM 916-6987175 CA 11/25,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$48.72,,
Primary 5925,DEBIT,11/29/2021,BIDRL.COM 916-6987175 CA 11/25,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$7.92,,
Primary 5925,DEBIT,11/29/2021,BIDRL.COM 916-6987175 CA 11/25,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$31.07,,
Primary 5925,DEBIT,11/23/2021,BIDRL.COM 916-6987175 CA 11/22,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$15.23,,
Primary 5925,DEBIT,11/22/2021,BIDRL 916-2844235 CA 11/19,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$75.11,,
Primary 5925,DEBIT,11/19/2021,BIDRL 916-2844235 CA 11/18,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$4.87,,
Primary 5925,DEBIT,11/15/2021,BIDRL.COM 916-6987175 CA 11/13,DEBIT_CARD,,Bidrl Com Ca,Shopping,Auction,BidRL,$12.18,,
Primary 5925,DEBIT,11/15/2021,BIDRL 916-2844235 CA 11/12,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$21.00,,
Primary 5925,DEBIT,10/18/2021,BIDRL 916-2844235 CA 10/17,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$1.22,,
Primary 5925,DEBIT,10/18/2021,BIDRL 916-2844235 CA 10/16,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$1.22,,
Primary 5925,DEBIT,10/4/2021,BID RL 916-3706020 CA 10/02,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$54.13,,
Primary 5925,DEBIT,9/27/2021,BIDRL 916-2844235 CA 09/24,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$5.17,,
Primary 5925,DEBIT,9/27/2021,BID RL 916-3706020 CA 09/25,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$39.63,,
Primary 5925,DEBIT,9/24/2021,BIDRL 916-2844235 CA 09/23,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$41.71,,
Primary 5925,DEBIT,9/24/2021,BIDRL 916-2844235 CA 09/23,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$63.62,,
Primary 5925,DEBIT,8/2/2021,BIDRL 916-2844235 CA 08/01,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$31.65,,
Primary 5925,DEBIT,8/2/2021,BID RL 916-3706020 CA 08/01,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$4.98,,
Primary 5925,DEBIT,7/26/2021,BID RL 916-3706020 CA 07/24,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$2.46,,
Primary 5925,DEBIT,7/26/2021,BID RL 916-3706020 CA 07/24,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$3.99,,
Primary 5925,DEBIT,7/26/2021,BID RL 916-3706020 CA 07/24,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$4.92,,
Primary 5925,DEBIT,7/22/2021,BIDRL 916-2844235 CA 07/21,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$19.48,,
Primary 5925,DEBIT,7/22/2021,BIDRL 916-2844235 CA 07/21,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$4.27,,
Primary 5925,DEBIT,6/11/2021,BIDRL 916-2844235 CA 06/10,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$182.02,,
Primary 5925,DEBIT,6/11/2021,BIDRL 916-2844235 CA 06/10,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$15.51,,
Primary 5925,DEBIT,6/11/2021,BIDRL 916-2844235 CA 06/10,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$18.98,,
Primary 5925,DEBIT,6/11/2021,BID RL 916-3706020 CA 06/10,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$2.76,,
Primary 5925,DEBIT,6/1/2021,BIDRL 916-2844235 CA 05/29,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$19.18,,
Primary 5925,DEBIT,6/1/2021,BIDRL 916-2844235 CA 05/29,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$10.35,,
Primary 5925,DEBIT,6/1/2021,BIDRL 916-2844235 CA 05/29,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$53.27,,
Primary 5925,DEBIT,5/28/2021,BID RL 916-3706020 CA 05/27,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$9.53,,
Primary 5925,DEBIT,5/17/2021,BID RL 916-3706020 CA 05/15,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$55.19,,
Primary 5925,DEBIT,5/17/2021,BID RL 916-3706020 CA 05/15,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$3.38,,
Primary 5925,DEBIT,5/17/2021,BID RL 916-3706020 CA 05/15,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$8.30,,
Primary 5925,DEBIT,5/14/2021,BIDRL 916-2844235 CA 05/13,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$19.49,,
Primary 5925,DEBIT,5/7/2021,BIDRL 916-2844235 CA 05/06,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$2.44,,
Primary 5925,DEBIT,5/7/2021,BID RL 916-3706020 CA 05/06,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$47.60,,
Primary 5925,DEBIT,5/6/2021,BIDRL 916-2844235 CA 05/05,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$5.50,,
Primary 5925,DEBIT,5/6/2021,BIDRL 916-2844235 CA 05/05,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$23.45,,
Primary 5925,DEBIT,5/3/2021,BID RL 916-3706020 CA 04/30,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$6.45,,
Primary 5925,DEBIT,4/30/2021,BIDRL 916-2844235 CA 04/29,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$46.28,,
Primary 5925,DEBIT,4/30/2021,BID RL 916-3706020 CA 04/29,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$7.19,,
Primary 5925,DEBIT,3/19/2021,BIDRL 916-2844235 CA 03/18,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$6.39,,
Primary 5925,DEBIT,3/19/2021,BID RL 916-3706020 CA 03/18,DEBIT_CARD,,Bid Rl Ca,Shopping,Auction,BidRL,$27.54,,
Primary 5925,DEBIT,3/15/2021,BIDRL 916-2844235 CA 03/12,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$123.89,,
Primary 5925,DEBIT,3/15/2021,BIDRL 916-2844235 CA 03/12,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$19.80,,
Primary 5925,DEBIT,3/15/2021,BIDRL 916-2844235 CA 03/12,DEBIT_CARD,,Bidrl Ca,Shopping,Auction,BidRL,$9.89,,
Primary 5925,DEBIT,12/31/2021,CHEVRON 0370148 ROSEVILLE CA 12/30,DEBIT_CARD,,Chevronroseville Ca,Gas,Auto,Chevron,$85.92,,
Primary 5925,DEBIT,12/24/2021,CHEVRON 0207436 WEST SACRAMEN CA 12/23,DEBIT_CARD,,Chevronwest Sacramen Ca,Gas,Auto,Chevron,$65.85,,
Primary 5925,DEBIT,12/10/2021,SHELL SERVICE STATION ROSEVILLE CA 556178 12/10,DEBIT_CARD,,Shell Service Station Roseville Ca,Gas,Auto,Shell,$85.00,,
Primary 5925,DEBIT,12/9/2021,CHEVRON/H&S ENERGY PRO SACRAMENTO CA 221435 12/09,DEBIT_CARD,,Chevronh&S Energy Pro Sacramento Ca,Gas,Auto,Chevron,$10.48,,
Primary 5925,DEBIT,12/2/2021,CHEVRON 0370148 ROSEVILLE CA 12/01,DEBIT_CARD,,Chevronroseville Ca,Gas,Auto,Chevron,$57.96,,
Primary 5925,DEBIT,12/2/2021,AUTOZONE 5587 8129 CITRUS HEIGHT CA 061111 12/02,DEBIT_CARD,,Autozonecitrus Height Ca,Parts,Auto,AutoZone,$72.61,,
Primary 5925,DEBIT,11/29/2021,CHEVRON 0305078 FOLSOM CA 11/26,DEBIT_CARD,,Chevronfolsom Ca,Gas,Auto,Chevron,$79.01,,
Primary 5925,DEBIT,11/19/2021,CHEVRON 0307708 SACRAMENTO CA 11/18,DEBIT_CARD,,Chevronsacramento Ca,Gas,Auto,Chevron,$12.92,,
Primary 5925,DEBIT,11/8/2021,SHELL SERVICE STATION ALTAVILLE CA 630086 11/07,DEBIT_CARD,,Shell Service Station Altaville Ca,Gas,Auto,Shell,$84.72,,
Primary 5925,DEBIT,10/26/2021,CHEVRON 0370148 ROSEVILLE CA 10/25,DEBIT_CARD,,Chevronroseville Ca,Gas,Auto,Chevron,$65.35,,
Primary 5925,DEBIT,10/25/2021,SAFEWAY FUEL1899 ROSEVILLE CA 10/24,DEBIT_CARD,,Safeway Fuel Roseville Ca,Gas,Auto,Safeway,$25.08,,
Primary 5925,DEBIT,10/22/2021,CHEVRON 0307708 SACRAMENTO CA 10/21,DEBIT_CARD,,Chevronsacramento Ca,Gas,Auto,Chevron,$78.47,,
Primary 5925,DEBIT,10/21/2021,CHEVRON/H&S ENERGY PRO SACRAMENTO CA 742584 10/21,DEBIT_CARD,,Chevronh&S Energy Pro Sacramento Ca,Gas,Auto,Chevron,$8.46,,
Primary 5925,DEBIT,10/18/2021,CHEVRON 0384233 ROSEVILLE CA 10/15,DEBIT_CARD,,Chevronroseville Ca,Gas,Auto,Chevron,$61.54,,
Primary 5925,DEBIT,10/12/2021,CHEVRON 0090609 ST. HELENA CA 10/11,DEBIT_CARD,,Chevronst Helena Ca,Gas,Auto,Chevron,$91.24,,
Primary 5925,DEBIT,10/8/2021,CHEVRON 0370070 CLEARLAKE OAK CA 10/07,DEBIT_CARD,,Chevronclearlake Oak Ca,Gas,Auto,Chevron,$87.14,,
Primary 5925,DEBIT,10/7/2021,CHEVRON/FOOD GAS GO CLEARLAKE OAK CA 708886 10/07,DEBIT_CARD,,Chevronfood Gas Go Clearlake Oak Ca,Gas,Auto,Chevron,$14.84,,
Primary 5925,DEBIT,9/27/2021,SHELL SERVICE STATION ROSEVILLE CA 427166 09/24,DEBIT_CARD,,Shell Service Station Roseville Ca,Gas,Auto,Shell,$61.47,,
Primary 5925,DEBIT,9/23/2021,CHEVRON 0307708 SACRAMENTO CA 09/22,DEBIT_CARD,,Chevronsacramento Ca,Gas,Auto,Chevron,$72.81,,
Primary 5925,DEBIT,9/22/2021,CHEVRON/H&S ENERGY PRO SACRAMENTO CA 534496 09/22,DEBIT_CARD,,Chevronh&S Energy Pro Sacramento Ca,Gas,Auto,Chevron,$8.46,,
Primary 5925,DEBIT,9/9/2021,CHEVRON 0207436 WEST SACRAMEN CA 09/08,DEBIT_CARD,,Chevronwest Sacramen Ca,Gas,Auto,Chevron,$94.21,,
